Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
160;Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;0.0;22.5;Apartamento
161;Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;22.62;Apartamento
162;Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;20.78;Apartamento
163;Apartamento;São Conrado;4;4;4;510;25000.0;6600.0;0.0;49.02;Apartamento
164;Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0;24.0;Apartamento
165;Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;43.65;Apartamento
166;Casa;Lins de Vasconcelos;2;0;0;40;950.0;0.0;50.0;23.75;Casa
167;Apartamento;Leblon;4;2;2;250;17500.0;4990.0;620.0;70.0;Apartamento
168;Apartamento;Copacabana;4;2;2;436;17000.0;3900.0;1000.0;38.99;Apartamento
169;Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;0.0;18.5;Apartamento
170;Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0;21.13;Apartamento
171;Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;23.46;Apartamento
172;Casa de Condomínio;Barra da Tijuca;4;2;4;595;30000.0;2500.0;2510.0;50.42;Casa
173;Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;43.68;Apartamento
174;Casa de Condomínio;Recreio dos Bandeirantes;4;4;4;267;6500.0;700.0;3308.0;24.34;Casa
175;Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;24.31;Apartamento
176;Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;0.0;18.63;Apartamento
177;Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;60.0;Apartamento
179;Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0;18.46;Apartamento
180;Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;38.46;Apartamento
181;Quitinete;Copacabana;1;0;0;23;1000.0;562.0;0.0;43.48;Apartamento
182;Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;0.0;26.67;Apartamento
183;Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;36.0;Apartamento
185;Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;46.43;Apartamento
186;Apartamento;Campo Grande;2;0;0;60;800.0;380.0;0.0;13.33;Apartamento
187;Apartamento;Ipanema;4;1;1;170;12000.0;1210.0;4222.0;70.59;Apartamento
188;Casa;Tijuca;4;1;1;191;4000.0;300.0;0.0;20.94;Casa
189;Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0;38.57;Apartamento
190;Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;22.22;Apartamento
191;Casa de Condomínio;São Conrado;3;2;1;250;5500.0;750.0;500.0;22.0;Casa
192;Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;33.93;Apartamento
194;Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;13.95;Apartamento
195;Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;53.75;Apartamento
196;Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0;15.05;Apartamento
197;Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;19.35;Apartamento
198;Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;36.67;Apartamento
199;Apartamento;Taquara;2;2;0;55;790.0;350.0;0.0;14.36;Apartamento
200;Quitinete;Centro;1;0;0;33;990.0;463.0;25.0;30.0;Apartamento
201;Apartamento;Copacabana;2;0;0;54;1800.0;590.0;0.0;33.33;Apartamento
202;Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0;47.14;Apartamento
203;Apartamento;Copacabana;5;1;3;390;10000.0;1000.0;1000.0;25.64;Apartamento
204;Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0;24.53;Apartamento
206;Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;28.57;Apartamento
207;Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0;21.34;Apartamento
208;Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0;20.0;Apartamento
209;Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0;17.0;Apartamento
210;Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0;54.62;Apartamento
211;Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0;20.0;Apartamento
212;Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0;36.11;Apartamento
213;Apartamento;Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0;30.0;Apartamento
214;Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0;17.86;Apartamento
215;Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;0.0;20.0;Apartamento
216;Quitinete;Copacabana;1;0;0;26;1400.0;370.0;21.0;53.85;Apartamento
217;Casa de Condomínio;Barra da Tijuca;4;4;4;1000;30000.0;2695.0;23715.0;30.0;Casa
218;Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0;18.07;Apartamento
